Function,Optimizer,Run,Best_Fitness,DStar_Mean_Expl,DStar_Mean_Exploit,DStar_AUC_Expl,DStar_AUC_Exploit,DStar_Early_5,DStar_Early_10,DStar_Xover,DStar_Conv,Hussain_Mean_Expl,Hussain_Mean_Exploit,Hussain_AUC_Expl,Hussain_AUC_Exploit,Hussain_Early_5,Hussain_Early_10,Hussain_Xover,Hussain_Conv
F6,DE,27,5676.0,9.934281602928479,90.06571839707152,9.833226279122393,89.96677372087761,74.77867563944885,57.048252651773346,28,92,9.999309402252955,90.00069059774704,9.897592590723875,89.90240740927611,75.26816173493046,57.42167898228506,28,92
F6,DE,28,3613.0,9.41126572456091,90.58873427543908,9.310867295627068,90.48913270437293,70.5773218329548,51.416650856505605,22,111,9.488546922110432,90.51145307788957,9.38732406519345,90.41267593480656,71.15687192862946,51.83886190318836,22,111
F6,DE,29,3298.0,9.99644904326555,90.00355095673446,9.895149786282037,89.90485021371796,78.75265215836731,58.97318990955173,25,96,10.007474711153996,89.992525288846,9.906063725299562,89.89393627470044,78.83951306110131,59.03823488736845,25,96
F6,DE,30,2303.0,8.924431442995518,91.07556855700449,8.823570275487794,90.97642972451222,73.81823416778316,52.52253547486325,25,80,8.924431443017982,91.07556855698202,8.823570275510004,90.97642972449,73.81823416796898,52.52253547499545,25,80
F6,AGOA,1,10.0,31.24840353382495,68.75159646617504,31.12874365155793,68.67125634844209,77.75266052122451,66.38767993753464,44,499,33.066893546721,66.93310645327901,32.94027009907979,66.85972990092021,82.27744965104016,70.2510879614059,48,499
F6,AGOA,2,2.0,29.522709425871486,70.4772905741285,29.40878799510966,70.39121200489035,69.95692044848278,58.02937808492509,33,499,32.80951210084736,67.19048789915264,32.68290764502967,67.11709235497032,77.74531784610274,64.48986625914311,38,499
F6,AGOA,3,3.0,29.4155117568247,70.5844882431753,29.301551421879704,70.4984485781203,69.33198764885061,56.342979501928205,29,499,32.823931937583765,67.17606806241623,32.696766844936654,67.10323315506335,77.36559072970314,62.871526411669166,35,499
F6,AGOA,4,13.0,31.166928467326663,68.83307153267333,31.050022819907195,68.7499771800928,77.3174094400728,67.17250280435182,47,499,34.02271394953779,65.97728605046223,33.8950963883332,65.9049036116668,84.4019040072101,73.32743265294296,54,499
F6,AGOA,5,2.0,29.55249232386288,70.44750767613712,29.435598863295734,70.36440113670427,72.15045117447491,60.18260637915818,35,499,31.677680195270508,68.32231980472949,31.552380656396256,68.24761934360374,77.33895649822958,64.51047638568924,39,499
F6,AGOA,6,7.0,31.61860763415838,68.38139236584162,31.501605910728454,68.29839408927155,76.93129824827184,66.8051915373801,47,499,34.49274269987955,65.50725730012046,34.36510550635079,65.43489449364922,83.9243620955217,72.87779112150514,53,499
F6,AGOA,7,0.0,30.512087350215587,69.4879126497844,30.392477389586304,69.4075226104137,75.24434405221679,62.00691350590916,36,499,32.23210199805609,67.7678980019439,32.105749434669136,67.69425056533088,79.48598679699116,65.5023413431918,39,499
F6,AGOA,8,8.0,30.972703715909777,69.02729628409023,30.853766041368,68.94623395863199,76.02680857270838,64.43679581973396,41,499,33.136786219573665,66.86321378042634,33.00953829408114,66.79046170591886,81.33885003188162,68.93903571795825,45,499
F6,AGOA,9,5.0,30.701877392709196,69.29812260729081,30.58671683259339,69.21328316740662,74.23664316683299,62.70894214893721,39,499,34.09001170209465,65.90998829790537,33.96214249097924,65.83785750902078,82.42909714969208,69.62924593630547,45,499
F6,AGOA,10,1.0,30.296392681929863,69.70360731807014,30.18081835789843,69.61918164210157,74.11656293809418,61.07655409620737,35,499,33.24920265414989,66.75079734585012,33.12236398521392,66.67763601478609,81.34026539164773,67.02932411399516,40,499
F6,AGOA,11,0.0,31.35598417798253,68.64401582201748,31.24008730459095,68.55991269540905,77.4038840412183,66.55455454718495,45,499,34.95252968838012,65.04747031161986,34.82333939140153,64.97666060859846,86.28214440949776,74.18839193511384,54,499
F6,AGOA,12,10.0,30.754040284703613,69.2459597152964,30.63732535961406,69.16267464038594,74.17291975957959,63.091488410369635,39,499,33.93572923435541,66.06427076564458,33.80693945393045,65.99306054606956,81.8465508330175,69.61867929761706,47,499
F6,AGOA,13,0.0,30.18416579341583,69.81583420658417,30.07332039110706,69.72667960889292,73.28576722923316,61.11357278610572,36,499,34.920625138843036,65.07937486115696,34.79238602271571,65.0076139772843,84.78567282395468,70.70343373957087,44,499
F6,AGOA,14,1.0,31.120917146023437,68.87908285397656,31.002425607532945,68.79757439246706,78.68745535856219,67.470285051306,47,499,33.40211328595504,66.59788671404496,33.27493619237791,66.5250638076221,84.45532905530283,72.415928301373,52,499
F6,AGOA,15,5.0,31.172193332318262,68.82780666768174,31.054309046529923,68.74569095347007,78.10945694807604,66.92217275386136,44,499,33.53546591575323,66.46453408424676,33.40864441153912,66.39135558846087,84.03120702015076,71.99577583360131,50,499
F6,AGOA,16,0.0,31.79139590540546,68.20860409459456,31.67200666279343,68.12799333720658,79.42769471520508,68.51380159110091,49,499,33.44262272239663,66.55737727760338,33.31703247119574,66.48296752880427,83.55312349209103,72.07236903676637,53,499
