Function,Optimizer,Run,Best_Fitness,DStar_Mean_Expl,DStar_Mean_Exploit,DStar_AUC_Expl,DStar_AUC_Exploit,DStar_Early_5,DStar_Early_10,DStar_Xover,DStar_Conv,Hussain_Mean_Expl,Hussain_Mean_Exploit,Hussain_AUC_Expl,Hussain_AUC_Exploit,Hussain_Early_5,Hussain_Early_10,Hussain_Xover,Hussain_Conv
F5,AGOA,28,5432.3309943521235,34.20924474731188,65.79075525268813,34.177895807482564,65.77210419251743,73.1508726510693,65.39225562334319,221,1999,34.323027377175194,65.6769726228248,34.29157416831441,65.65842583168559,73.39417818816946,65.60975539197236,221,1999
F5,AGOA,29,21548.711392356392,38.26400519580663,61.73599480419337,38.23063234212131,61.71936765787869,90.38214305302051,86.58128339510606,316,1999,38.595476680031965,61.404523319968035,38.56181472568175,61.388185274318246,91.16510089948599,87.3313153472305,316,1999
F5,AGOA,30,13683.295891627442,35.174233052593706,64.82576694740628,35.140358267041165,64.80964173295884,80.30759173020921,71.0357485405537,234,1999,35.54921343864691,64.45078656135308,35.51497752567064,64.43502247432937,81.16372331110168,71.7930361940325,235,1999
F5,EES,1,20371.41934151884,5.734038279643914,94.26596172035609,5.708967255930878,94.24100773156287,34.562650884299764,25.487877423078974,15,235,5.7225349282593045,94.27746507174069,5.6975142008263555,94.25246078666738,34.49331295899899,25.43674487115891,15,235
F5,EES,2,28400.906700787473,4.849094495442259,95.15090550455774,4.8258010920251,95.12417389546864,33.81397123833759,26.652864680575973,14,217,5.212392903815423,94.78760709618457,5.18735433820458,94.76262064928916,36.34734359130172,28.649720655673953,16,221
F5,EES,3,10893.183609234336,6.511280502899249,93.48871949710075,6.488847648310702,93.46112733918304,35.16334500185034,28.44018206681344,12,293,7.261535837916938,92.73846416208308,7.23651818164042,92.71345680585333,39.215003838074495,31.717171641291205,30,388
F5,EES,4,62907.14076809166,7.74464800853247,92.25535199146753,7.719717630519433,92.2302573569743,35.07673710311557,27.21606608958581,8,320,7.775336170387733,92.22466382961227,7.750307005770744,92.19966798172301,35.21572864726179,27.32390973080754,8,320
F5,EES,5,7688.9629907046565,5.916464385310767,94.08353561468924,5.891985067524413,94.05798991996933,53.33875906768879,37.39900198926666,38,271,6.049520198496011,93.95047980150399,6.024490363488194,93.92548462400553,54.53829843780035,38.24007096187014,38,271
F5,EES,6,29842.046813673205,6.108765145683684,93.89123485431632,6.083465116787858,93.86650987070588,43.875719488720286,32.35456655543893,25,258,6.146959894032771,93.85304010596724,6.121501677972462,93.82847330952127,44.15005022898307,32.55686186358349,27,258
F5,EES,7,15050.355154037481,5.147792826216957,94.85220717378303,5.123368760468888,94.82660622702487,34.61029104126602,26.41607161035699,13,231,5.278748864449192,94.7212511355508,5.253703468551317,94.69627151894244,35.49075122096592,27.088076914481398,14,231
